Area live-in Satisfaction,Nearby Places,Area related Info,Area Sanitation(1-5),Nature,MentalPeace,Reaction on lack of something,Free time activities,GoOut,Stress Management,Descrimination,Outing Preference,Residence
Yeah it is in general a great place with almost every necessary thing availible,Parks;Mosques,"Social, Quiet, Private",4,Extrovert,No,Fight for it,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Never talk about that topic,Desi,Green Park City
No..because of the behavior of people ,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",1,Ambivert,Yes,Fight for it,Kill time,Once or twice a week,Go with the flow,Try to change the other person's view,KFC,Shah Faisal Colony
I am not totally satisfied as all the things are perfectly fine there except the electricity.,Parks;Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",4,Introvert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Calmly assess the situation and work towards a solution,Never talk about that topic,Dominos,Surjani town
"No, bcz the condition of roads is miserable. ",Parks,"Social, Quiet, Private",3,Ambivert,Yes,Fight for it,Socialize,Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Dominos,Gulshan-e-Rafi Malir
Yes.,Parks;Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",5,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Ginsoy,Gulshan e Iqbal
Yep,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",3,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,KFC,North Nazimabad
Yes alhamdulillah no shortage of water n electricity issue here,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Introvert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Ginsoy,Gulshan e Iqbal
"Yes .. 
All basic necessaries are there lie water,gas,no electricity shutdown and every is available ..",Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,Gulistan e jauhar
"YES,ALHAMDULILLAH.",Grocery Stores;Mosques,"Social, Noisy, Public",3,Introvert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Aylanto,North Karachi
"yes, ALHAMDULILLAH ",Parks;Restaraunts;Mosques,"Social, Noisy, Public",2,Introvert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Aylanto,North Karachi
Yee,Grocery Stores;Mosques;Recreational Clubs,"Social, Quiet, Private",3,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,KFC,North Nazimabad
"Yes, as all facilities are easily available as this area lies in the central of this city.",Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",4,Extrovert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Aylanto,Gulshan
Yes. Everything is easily available here and no load shedding or water shortage.,Parks;Restaraunts;Grocery Stores;Mosques,"Anti-social, Quiet , Private",3,Introvert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Go with the flow,Never talk about that topic,Ginsoy,North Nazimabad
Yes. It is near to markets and food street,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",4,Extrovert,Yes,Pursue something else,Kill time,Once or twice a week,Go with the flow,Never talk about that topic,Ginsoy,North Nazimabad
Yes. It's a commercial area. ,Parks;Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Desi,North Nazimabad
Yes.,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Desi,Majeed SRE Dalmia
"Yes, because everything is within reach here. Hospital, supermarket, restaurants, shopping plaza, mosques, all are at walking distance. ",Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",4,Ambivert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy,Shah Faisal Colony
Yes.,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Never talk about that topic,Ginsoy,Gulshan
"Yeah, as it is near to many parks, restaurants and other recreational clubs.",Parks;Restaraunts;Grocery Stores;Mosques;Recreational Clubs,"Anti-social, Quiet , Private",5,Ambivert,No,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,KFC,North Karachi
Not much because it's quite far from the bus stop and there is no clean water supply. ,Parks;Grocery Stores;Mosques,"Anti-social, Quiet , Private",3,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Talk about the topic respecting eachother's views,Desi,Shah Faisal Colony
"Yes i am fully satisfied with my area where i am living in. Because of the environment we have here. The people are so peaceful and well educated so there will be no problems regarding neighbours in our area and the most important reason that makes my area livable is that we have every necessities present near our houses. Because our area is well structured and well planned so our commercial area is separated from living area. You could find each and every thing from clinics to the bakeries,local dining area just from 3 min walk from your home so what is better than that. And also we have no electricity issues gas issues etc. We have guards here that perform their duty in night to protect our automobiles on daily basis. We have parks,playground here as well as mosques. ",Parks;Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Ginsoy,Bahria Town
Yes,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",3,Extrovert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,KFC,Gulshan
Yes,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Introvert,Yes,Fight for it,Study,Multiple times a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,Gulshan
No ,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Socialize,Rarely,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy,Bufferzone
Yes,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Introvert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Never talk about that topic,Desi,Karachi
No,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",3,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Never talk about that topic,KFC,Nagan chowrangi
Yes i m satisfied ,Mosques,"Social, Noisy, Public",2,Introvert,Yes,Pursue something else,Kill time,Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,KFC,North Nazimabad
"Not completely.  The reasons are 
.water supply problem
.this area is quite away from city Centre
.lack of attention of Politicians
. Some people from communities having bad nature",Parks;Restaraunts;Recreational Clubs,"Social, Quiet, Private",3,Introvert,Yes,Pursue something else,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,Gulestan e mazdoor
Not completely. Because of shortage of water supply and cleanness.,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",3,Introvert,Yes,Pursue something else,Study,Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Desi,Bufferzone
"Yes. Every thing can be bought from nearby markets. Well reputable schools, masjids, all are near.",Parks;Grocery Stores;Mosques,"Social, Noisy, Public",4,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Calmly assess the situation and work towards a solution,Never talk about that topic,Desi,Saddar
Everything is near by and all utility are available just a bit of snatching at night,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Ambivert,Yes,Fight for it,Socialize,Once or twice a week,Go with the flow,Never talk about that topic,Desi,Gulshan e Iqbal
Ehm sometimes NO. ,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",3,Extrovert,Yes,Fight for it,Study,Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Desi,Gulshan e Iqbal
Yes,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",3,Extrovert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,KFC,Korangi
Yes . ,Parks;Restaraunts;Grocery Stores,"Social, Noisy, Public",3,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,North Karachi
Pretty much so except for the parking issues and the basti nearby.,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Kill time,Rarely,Go with the flow,Try to change the other person's view,Desi,Dhoraji
Very satisfied as all basic necessities are nearby,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",3,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Ginsoy,North Nazimabad
Yes.,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",5,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy,Lucknow Society
Yes very satisfied ,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",4,Ambivert,No,Fight for it,Study,Once or twice a month,Calmly assess the situation and work towards a solution,Try to change the other person's view,Desi,Malir Cantt
Yes ,Restaraunts;Grocery Stores;Mosques,"Anti-social, Quiet , Private",3,Ambivert,Yes,Fight for it,Socialize,Once or twice a week,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Aylanto,PECHS
Yes I am its a very calm area,Parks;Restaraunts;Mosques,"Social, Quiet, Private",3,Introvert,Yes,Fight for it,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Never talk about that topic,Dominos,Malir Cantt
"no, the area isnt uninhabitable but the drainage system, the roads, the wiring system is not as proper as it should be.",Parks;Grocery Stores;Mosques,"Social, Noisy, Public",3,Ambivert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,KFC,Mehmoodabad
"Yes, because I born here.",Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Introvert,Yes,Fight for it,Study,Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,Korangi
Yeah I satisfied but I have faced some problems especially noisy environment... ,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",2,Ambivert,No,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,KFC,North Karachi
Yes,Parks;Grocery Stores;Recreational Clubs,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Kill time,Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Ginsoy,North Nazimabad
Yes,Restaraunts;Grocery Stores;Mosques,"Anti-social, Quiet , Private",3,Introvert,Yes,Fight for it,Study,Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,Dominos,Gulshan e Iqbal
Yes because its quite peaceful living here and almost everything is available also its kind of a center of the city i guess,Restaraunts;Grocery Stores;Mosques,"Anti-social, Quiet , Private",2,Extrovert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Dominos,Gulistan e jauhar
"No, there is alot of water and sewage problem, the roads are really in its worst conditions, piles of garbage everywhere.",Parks;Restaraunts;Grocery Stores,"Social, Noisy, Public",3,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy,Korangi
Yes i am. Less loadshedding and every place ,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",3,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy,Gulshan e Iqbal
Yes satisfied as here we dont have extreme issues of water or electricity shortage. We do have but its not extreme like other areas ,Parks;Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",3,Extrovert,No,Fight for it,Kill time,Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,KFC,Federal B Area
"Somewhat, biggest issue are the broken roads and drainage system",Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Introvert,Yes,Pursue something else,Kill time,Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Desi,North Nazimabad
Yes satisfied ,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Pursue something else,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,Federal B Area
No,Parks;Restaraunts;Mosques,"Social, Quiet, Private",1,Introvert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Never talk about that topic,Desi,Bufferzone
Yes I am satisfied where I live in,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",4,Extrovert,Yes,Fight for it,Socialize,Rarely,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy,Gulshan
Yes I am completely satisfied with my area because I moved here almost 15 years ago and I spent my childhood in this area:),Parks;Grocery Stores;Mosques,"Social, Quiet, Private",3,Ambivert,Yes,Fight for it,Study,Rarely,Go with the flow,Never talk about that topic,Desi,North Karachi
No. Very much overly populated,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",1,Ambivert,No,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy,Saddar
Yes I am. Since all kind of vendors are in reach.,Parks;Restaraunts;Grocery Stores,"Social, Noisy, Public",4,Extrovert,No,Pursue something else,Kill time,Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,KFC,Gulzar e Hijri
The area has many facilities available but lacks maintenance of roads and some security issues as well . Not completely satisfied but better than most of other areas in karachi.,Grocery Stores;Mosques;Recreational Clubs,"Social, Noisy, Public",3,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Aylanto,Gulistan e jauhar
"Almost satisfied, the rainwater usually stays in potholes. ",Parks;Grocery Stores;Mosques,"Social, Noisy, Public",3,Extrovert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Never talk about that topic,KFC,Federal B Area
Yes....because there are all facilities around,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",4,Ambivert,Yes,Fight for it,Socialize,Rarely,Go with the flow,Never talk about that topic,Desi,Gulshan
Yess,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",5,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Desi,Saddar
Yuppp,Parks;Restaraunts;Grocery Stores;Mosques;Recreational Clubs,"Social, Quiet, Private",4,Introvert,No,Pursue something else,Kill time,Once or twice a week,Go with the flow,Never talk about that topic,Dominos,Gulistan e jauhar
"No. From having wrecked roads to having junk piled up everywhere, it's some times beyond tolerance. Also, it's so difficult to have anything delivered here since no restaurant or any other platform have home delivery to this area as apparently, it's located way too inward. ",Parks;Grocery Stores;Mosques,"Social, Noisy, Public",3,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,KFC,Malir Cantt
No light issues,Restaraunts;Grocery Stores;Mosques,"Anti-social, Quiet , Private",3,Introvert,Yes,Fight for it,Study,Rarely,Go with the flow,Leave the friendship,KFC,North Karachi
"Yes I am satisfied as the area has all the necessities nearby ,is close to the university and is a clean place.",Restaraunts;Grocery Stores;Mosques,"Anti-social, Quiet , Private",4,Ambivert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Calmly assess the situation and work towards a solution,Never talk about that topic,Aylanto,Gulistan e jauhar
Yeah because it has all the basic facilities like water electricity etc,Parks;Mosques;Recreational Clubs,"Social, Quiet, Private",3,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Never talk about that topic,Ginsoy,Clifton
"No, poor conditions ",Parks;Mosques;Recreational Clubs,"Social, Noisy, Public",1,Ambivert,Yes,Fight for it,Kill time,Rarely,Go with the flow,Never talk about that topic,Desi,Gulistan e jauhar
Yes,Parks;Mosques;Recreational Clubs,"Social, Noisy, Public",3,Introvert,Yes,Fight for it,Socialize,Rarely,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy,Gulshan e Iqbal
Yes I am fully satisfied ,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",4,Introvert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,Gulshan e Iqbal
"yes because it is adjacent to my uni
",Restaraunts;Grocery Stores;Recreational Clubs,"Social, Quiet, Private",3,Ambivert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Go with the flow,Talk about the topic respecting eachother's views,Desi,Gulistan e jauhar
Yes I am satisfied with the area as the neighbours are respectful and ethical people with fine sense of personal space. Further the area is managed by an authority which is just and people follow the rules projected by it.,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Introvert,No,Fight for it,Kill time,Once or twice a week,Go with the flow,Talk about the topic respecting eachother's views,Desi,Federal B area
"No, not copletely setisfied there was many problem. I, would like to share one which is about the shortage of water",Parks;Grocery Stores;Mosques,"Social, Noisy, Public",1,Extrovert,Yes,Fight for it,Kill time,Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Desi,SITE Area
No,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",1,Extrovert,Yes,Pursue something else,Kill time,Multiple times a week,Go with the flow,Never talk about that topic,Ginsoy,North Nazimabad
Not completely because of the dirty environment and very crowded,Parks;Mosques;Recreational Clubs,"Social, Noisy, Public",1,Ambivert,Yes,Fight for it,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Ginsoy,Gulshan
"Yeah, you can say that because in Karachi there are only a few locations that are accurate in terms of everything and the area in which I live is not fully perfect for a living but it is very good, no load shedding, no water problems, supermarkets, halls, restaurants these all are here, and yeah garbage dump is the one thing which is mutual all over the Karachi so I conclude that this is not so magnificent but pretty good area for living.",Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Ambivert,No,Pursue something else,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Try to change the other person's view,Desi,Gulzar e Hijri
Most of this area is under developed but not developed.,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",3,Introvert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,Orangi Town
Yes. ,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",3,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Talk about the topic respecting eachother's views,KFC,Bufferzone
Yes,Parks;Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",4,Introvert,Yes,Pursue something else,Study,Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,Gulshan e Iqbal
"No completely, but partially as all the activities are near home but quality is not satisfying ",Parks;Restaraunts;Grocery Stores,"Social, Noisy, Public",3,Extrovert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Go with the flow,Talk about the topic respecting eachother's views,Dominos,North Nazimabad
"Satisfied, because of peace and less street crimes comparitively.",Parks;Grocery Stores;Mosques,"Social, Noisy, Public",2,Ambivert,Yes,Pursue something else,Kill time,Rarely,Go with the flow,Talk about the topic respecting eachother's views,Desi,Shah Faisal Colony
No i am not. Lack of parks and ground with huge public and loads of garbage.,Parks;Restaraunts;Grocery Stores,"Social, Noisy, Public",3,Ambivert,Yes,Fight for it,Socialize,Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Ginsoy,Malir Cantt
"As far as the locality is concerned, it's getting more a commercial area and with that comes the noise and pollution. And obviously cleanliness is a major issue all over the city so that.",Parks;Recreational Clubs,"Social, Noisy, Public",3,Ambivert,Yes,Fight for it,Socialize,Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,KFC,Federal B Area
yeah stisfied .because it is the mid of karachi all shopping mall and parks are near to this area ,Parks;Restaraunts;Grocery Stores;Mosques;Recreational Clubs,"Social, Noisy, Public",2,Extrovert,Yes,Fight for it,Study,Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,Gulshan e Iqbal
No. This area was not the way it is now,Grocery Stores;Mosques;Recreational Clubs,"Social, Quiet, Private",3,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy,Nazimabad
