Area live-in Satisfaction,Nearby Places,Area related Info,Area Sanitation(1-5),Nature,MentalPeace,Reaction on lack of something,Free time activities,GoOut,Stress Management,Descrimination,Outing Preference,Residence
"No, a few reasons. The sanitary condition in my area is not as good as I hope it would be. Water issues and electricity issues, although Alhumdulliah, we have proper maintenance for these in our house but not everyone have these basic facilities.",Parks;Grocery Stores;Mosques,"Social, Noisy, Public",1,Ambivert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Multiple times a week,Calmly assess the situation and work towards a solution,Never talk about that topic,KFC,Gulshan e Iqbal
"Satisfied in the regard that it is peaceful, it has a lot of facilities available and it is very green but not satisfied with the fact that it is quite far from the main city area which makes it difficult to travel even for small purposes or for daily requirements.  ",Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy,Green Park City
Not satisfied due to electricity load shedding and sui gas shortage. ,Parks;Mosques;Recreational Clubs,"Social, Noisy, Public",1,Introvert,Yes,Pursue something else,Kill time,Rarely,Go with the flow,Never talk about that topic,Desi,Korangi
No im not completely satisfied with the area i live in because there is always kind of chaos happenings and cant find peace that i want in this area i live and i want to move from here to any place better than this.. and sometimes i get thoughts in my mind to leave this country ,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy,New Karachi
Yes,Parks;Grocery Stores;Mosques;Recreational Clubs,"Social, Quiet, Private",5,Ambivert,Yes,Pursue something else,Study,Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Ginsoy,Askari
"No, because of street crimes, stray dogs and pollution.",Grocery Stores;Mosques;Recreational Clubs,"Social, Noisy, Public",1,Introvert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,KFC,Bufferzone
Yes because its less populated.,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",3,Extrovert,Yes,Fight for it,Socialize,Rarely,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy,Gulistan e jauhar
Yes because my university is just 10 minutes away from my house.,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,No,Fight for it,Study,Rarely,Go with the flow,Never talk about that topic,Dominos,Gulzar e Hijri
Yes completely satisfied with the environment,Parks;Grocery Stores;Mosques,"Anti-social, Quiet , Private",5,Introvert,No,Pursue something else,Study,Rarely,Go with the flow,Talk about the topic respecting eachother's views,Desi,DHA
yes,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",3,Introvert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,Bufferzone
no. because it is so populated. and my university is too far,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",3,Extrovert,Yes,Pursue something else,Socialize,Once or twice a week,Get stressed and rush towards the first way out,Never talk about that topic,Desi,Garden West
Yess,Parks;Restaraunts;Recreational Clubs,"Social, Noisy, Public",5,Ambivert,No,Fight for it,Kill time,Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,Dominos,Shadman
"Not really, the roads are in dire condition and sewage problem other than that its fine I guess",Parks;Grocery Stores;Mosques,"Social, Noisy, Public",2,Introvert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Talk about the topic respecting eachother's views,Desi,Shadman
"Yes i am, as i am living inside of the airfirce residence",Grocery Stores;Mosques;Recreational Clubs,"Social, Quiet, Private",5,Extrovert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Ginsoy,Shah Faisal Colony
"Yes and No. My Area has electrical facilities and water both, a shortage of which is faced throughout Karachi but now since the last year we have started facing water problems. There is also an unavailability of everyday services nearby which is a huge problem.",Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",2,Ambivert,Yes,Pursue something else,Socialize,Once or twice a week,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,KFC,Shah Faisal Colony
"Yes , ",Restaraunts,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Socialize,Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Dominos,Gulshan e Iqbal
Yes I am. A huge variety of restaurants is here.,Restaraunts;Grocery Stores;Recreational Clubs,"Social, Noisy, Public",3,Ambivert,No,Pursue something else,Kill time,Once or twice a month,Go with the flow,Never talk about that topic,KFC,North Nazimabad
"Yes,
Because Alhamdullilah there are no problems for water and electricity. Many medical stores, grocery shops, mosque, markets etc are near from my house.",Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Introvert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Talk about the topic respecting eachother's views,Aylanto,"Jut land, lines area"
"Not at all satisfied because of the daily problems related to electricity, water, gas , internet.",Parks;Grocery Stores;Mosques,"Social, Noisy, Public",1,Introvert,Yes,Pursue something else,Kill time,Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Desi,New Karachi
Yes ,Parks;Restaraunts;Mosques,"Anti-social, Quiet , Private",4,Introvert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,KFC,Malir Cantt
"Yes, because of the facilities and environment.",Parks;Grocery Stores;Mosques,"Social, Noisy, Public",4,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Never talk about that topic,Desi,Bufferzone
Gulshan is a well established area of karachi but the block of gulshan where I am currently living is not appropriate for me because I don't feel safe here to go out. ,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Ambivert,Yes,Pursue something else,Kill time,Rarely,Get stressed and rush towards the first way out,Never talk about that topic,Ginsoy,Gulshan e Iqbal
Yes I am . Safety services and utilities are completely and fully taken care for by authorities ,Parks;Grocery Stores;Mosques;Recreational Clubs,"Social, Quiet, Private",4,Extrovert,No,Pursue something else,Socialize,Once or twice a week,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Desi,Malir Cantt
"No. Extremely populated therefore messy, noisy and poluted ",Grocery Stores;Mosques;Recreational Clubs,"Social, Noisy, Public",2,Introvert,No,Fight for it,Kill time,Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Aylanto,Bahadurabad
"Yes, Everything is ok and perfect.",Parks;Restaraunts;Grocery Stores;Mosques;Recreational Clubs,"Social, Noisy, Public",3,Extrovert,Yes,Pursue something else,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,Federal B Area
.,Parks;Mosques;Recreational Clubs,"Social, Quiet, Private",4,Introvert,Yes,Fight for it,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Never talk about that topic,KFC,Frere Town
Yes ,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Introvert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Never talk about that topic,Ginsoy,Nazimabad
"Yes Market Area
",Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",4,Introvert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Never talk about that topic,Dominos,Upmore
Yes,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",3,Ambivert,Yes,Fight for it,Socialize,Multiple times a week,Go with the flow,Talk about the topic respecting eachother's views,KFC,Hyderi
No. everything is far away. ,Parks;Grocery Stores;Mosques;Recreational Clubs,"Anti-social, Quiet , Private",5,Ambivert,Yes,Fight for it,Kill time,Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Ginsoy,Malir Cantt
"Yes , No electricity loadshedding is there.",Parks;Restaraunts;Grocery Stores,"Social, Noisy, Public",4,Ambivert,Yes,Pursue something else,Socialize,Once or twice a week,Go with the flow,Talk about the topic respecting eachother's views,Desi,North Karachi
Yes comfortable,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Extrovert,Yes,Pursue something else,Socialize,Once or twice a month,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,KFC,North Nazimabad
Well i am cause it's quite here,Parks;Restaraunts;Grocery Stores,"Anti-social, Quiet , Private",4,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,KFC,North Nazimabad
"Nope not at all satisfied. The roads are messed up, sewage water flowing freely through the streets, all in all the area has started to represent  a landfill. ",Parks;Restaraunts;Recreational Clubs,"Social, Noisy, Public",1,Introvert,Yes,Fight for it,Kill time,Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,KFC,North Nazimabad
"No I am not satisfied
 In the monsoon season, in times of heavy rainfall the houses start to flood.The whole society experiences urban flooding.",Parks;Restaraunts;Grocery Stores;Mosques;Recreational Clubs,"Social, Quiet, Private",1,Introvert,Yes,Pursue something else,Kill time,Once or twice a month,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Ginsoy,PECHS
"Yes, because of less criminal activities actually there's no and the market where everything is Available.",Restaraunts;Grocery Stores;Mosques;Recreational Clubs,"Social, Noisy, Public",4,Introvert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,Desi,Mehmoodabad
Partially as facilities which are not available in old city are much available here. ,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",3,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Leave the friendship,Desi,Malir Cantt
Othe wakring benifid,Parks;Restaraunts;Grocery Stores;Mosques,"Anti-social, Quiet , Private",3,Introvert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Multiple times a week,Go with the flow,Never talk about that topic,Ginsoy,Gulistan e jauhar
Its a gated community in which I live in & I always prefer that and it has almost all the facilities that you want to have so that’s the reason ,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",5,Ambivert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,AFOHS FALCON COMPLEX
"Yes 
My area is very calm apart from the city chaos ",Parks;Restaraunts;Mosques,"Social, Quiet, Private",3,Extrovert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy,North Nazimabad
I am satisfied plus looking forward to change my view because of the mentality exist in our society.,Parks;Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Introvert,Yes,Pursue something else,Socialize,Once or twice a month,Get stressed and rush towards the first way out,Leave the friendship,KFC,Nazimabad
Yes am completely satisfied with the area i live in because all the sources of need are already present in this area which makes living more comfortable.,Parks;Restaraunts;Recreational Clubs,"Social, Noisy, Public",2,Ambivert,Yes,Fight for it,Kill time,Rarely,Go with the flow,Talk about the topic respecting eachother's views,Dominos,Hyderi
No. Reason: inadequate municipal services.,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",2,Ambivert,No,Fight for it,Kill time,Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Aylanto,Bufferzone
Yes satisfied,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Extrovert,Yes,Fight for it,Kill time,Once or twice a week,Go with the flow,Never talk about that topic,Aylanto,Gulshan
Peace,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",3,Extrovert,Yes,Fight for it,Socialize,Multiple times a week,Get stressed and rush towards the first way out,Never talk about that topic,Aylanto,Shabbirabad
"Yes ! Because it’s clean, peaceful and safe ! ",Grocery Stores;Mosques;Recreational Clubs,"Anti-social, Quiet , Private",4,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,University Road
No,Parks;Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",3,Introvert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Never talk about that topic,Desi,Gulshan e Iqbal
Yes... everything is easily available here..it is heart of karachi,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",2,Extrovert,No,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Talk about the topic respecting eachother's views,Dominos,Gulshan e Iqbal
Yes,Parks;Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Extrovert,Yes,Pursue something else,Socialize,Once or twice a week,Go with the flow,Try to change the other person's view,Dominos,Korangi
"Alhamdulillah I am satisfied. In my area, all the basic facilities and necessities are available. ",Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",2,Ambivert,No,Fight for it,Socialize,Rarely,Go with the flow,Talk about the topic respecting eachother's views,Desi,Federal B Area
Due to environment,Restaraunts;Grocery Stores;Mosques,"Anti-social, Quiet , Private",2,Introvert,Yes,Pursue something else,Study,Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,KFC,North Karachi
Yes. Its secured and everything is on your tips near by.,Parks;Restaraunts;Grocery Stores,"Social, Quiet, Private",4,Ambivert,Yes,Pursue something else,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,Karachi
As mentioned above social and all of the above main thing is security both sides and peaceful atmosphere ,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Extrovert,Yes,Fight for it,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,North Nazimabad
Yes. It is a clean place.,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",5,Ambivert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Never talk about that topic,Dominos,University Road
Every necessary need is available in the area.,Parks;Restaraunts;Recreational Clubs,"Social, Quiet, Private",2,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy,Pakistan chowk
bcz i am worker and i don't have personal house,Mosques,"Social, Quiet, Private",3,Introvert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Go with the flow,Try to change the other person's view,Desi,Gulshan
Not complete. ,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",2,Introvert,Yes,Fight for it,Kill time,Rarely,Go with the flow,Talk about the topic respecting eachother's views,Desi,Landhi
No,Parks;Mosques,"Social, Noisy, Public",2,Extrovert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,Desi,Gulshan e Iqbal
"No , to cut off from the main city",Parks;Grocery Stores;Mosques,"Anti-social, Quiet , Private",3,Ambivert,Yes,Fight for it,Kill time,Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,Gulshan maymaar
Some what satisfied.... Everything I need available here.... But there is no work on road construction.. this is the biggest flaw of my area... ,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",2,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy,North Nazimabad
"Alhumdulilah Satisfied, peaceful area with greenery ",Parks;Mosques;Recreational Clubs,"Social, Quiet, Private",4,Introvert,No,Pursue something else,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy,Malir Cantt
Yes.,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",2,Extrovert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,KFC,North Nazimabad
Yes. Because eniviroment is good. No issue of water & electricity.,Parks;Grocery Stores;Recreational Clubs,"Social, Quiet, Private",3,Extrovert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,Gulshan e Iqbal
Yes as it is peacfeul here,Parks;Restaraunts;Grocery Stores,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Desi,Gulzar e hijri
yes but water problem,Parks;Restaraunts;Grocery Stores;Mosques;Recreational Clubs,"Social, Quiet, Private",3,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy,DHA
Yes,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",4,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,North Nazimabad
"Yes i am.  Wide streets and less crowded is the reason
",Parks;Mosques;Recreational Clubs,"Anti-social, Quiet , Private",4,Extrovert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Go with the flow,Never talk about that topic,Ginsoy,North Nazimabad
No there is transport problem here,Restaraunts;Grocery Stores;Mosques,"Anti-social, Quiet , Private",5,Introvert,Yes,Pursue something else,Study,Once or twice a month,Go with the flow,Never talk about that topic,Desi,Malir Cantt
No,Parks;Mosques;Recreational Clubs,"Social, Noisy, Public",1,Extrovert,Yes,Pursue something else,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Never talk about that topic,Desi,Saddar
Yes I am satisfied as the masjid nearby and it is safe to move around in the area but rare robbery and snatching really effects people lives . Making them hesitant to travel shorts distances by foot . ,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,No,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Go with the flow,Talk about the topic respecting eachother's views,Desi,Shabbirabad
Not completely satisfied,Parks;Grocery Stores;Mosques,"Social, Noisy, Public",2,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy,Saddar
Not in center of city,Parks;Grocery Stores;Recreational Clubs,"Social, Noisy, Public",3,Introvert,Yes,Fight for it,Study,Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,North Nazimabad
Yes ,Parks;Grocery Stores;Mosques,"Anti-social, Quiet , Private",3,Introvert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Calmly assess the situation and work towards a solution,Never talk about that topic,Desi,Jamshed road
Yes. Because it is a peaceful area not a crowded place and it is newly developed.,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",5,Ambivert,Yes,Fight for it,Kill time,Rarely,Go with the flow,Talk about the topic respecting eachother's views,KFC,Gulistan e jauhar
Yes,Parks;Restaraunts;Grocery Stores;Mosques;Recreational Clubs,"Social, Noisy, Public",3,Introvert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,KFC,Federal B Area
Yes completely satisfied accept the security.,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",4,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Ginsoy,North Karachi
"Satisfied 
There is some garbage that need to be removed.",Parks;Restaraunts;Grocery Stores;Mosques,"Anti-social, Quiet , Private",3,Extrovert,No,Fight for it,Socialize,Once or twice a month,Get stressed and rush towards the first way out,Never talk about that topic,Desi,Clifton
Nope. Cuz it's A Bit too noisy for me.,Parks;Mosques;Recreational Clubs,"Social, Noisy, Public",2,Extrovert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Calmly assess the situation and work towards a solution,Never talk about that topic,Aylanto,Clifton
Completely residential area with all possible utilities provided. Secure. ,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy,Clifton
No,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",3,Introvert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a week,Go with the flow,Talk about the topic respecting eachother's views,KFC,North Nazimabad
Yes,Grocery Stores,"Social, Quiet, Private",2,Extrovert,Yes,Fight for it,Study,Rarely,Get stressed and rush towards the first way out,Never talk about that topic,Ginsoy,North Nazimabad
"I am satisfied because the area is well-secured, grocery stores and malls are at a convenient distance and its not too difficult explaining my address to others. ",Parks;Grocery Stores;Mosques,"Social, Noisy, Public",3,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Never talk about that topic,Dominos,Clifton
It's quite separate from the city. So peaceful.,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",3,Ambivert,Yes,Fight for it,Study,Rarely,Get stressed and rush towards the first way out,Never talk about that topic,Desi,Surjani town
No! That is not a residential area where as alot of late night shops disturb the area reputation.,Grocery Stores;Mosques;Recreational Clubs,"Social, Noisy, Public",3,Ambivert,Yes,Pursue something else,Socialize,Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Aylanto,Saddar
Nopes,Parks;Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Extrovert,No,Fight for it,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Try to change the other person's view,KFC,Orangi Town
I am not really satisfied. Its because previously it wasn't commercialized but now it is,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",3,Extrovert,Yes,Pursue something else,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Never talk about that topic,Ginsoy,Shaheed e milat
Yas,Parks;Grocery Stores;Mosques,"Social, Quiet, Private",5,Extrovert,Yes,Fight for it,Kill time,Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Ginsoy,Malir Cantt
